,Season,Player,G,MP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
132,1999,Coquese Washington,19,77,0,5,18,0.278,0,5,0.0,5,13,.385,2,2,1.000,1,7,15,9,0,13,15,12
133,1999,Teresa Weatherspoon,32,1086,32,80,190,0.421,31,82,0.378,49,108,.454,38,56,.679,22,104,205,78,3,80,91,229
134,1999,Val Whiting-Raymond,31,764,20,76,200,0.38,0,0,,76,200,.380,50,110,.455,66,207,49,40,31,46,84,202
135,1999,Tamika Whitmore,27,573,1,80,184,0.435,1,8,0.125,79,176,.449,53,78,.679,43,96,18,16,6,56,78,214
136,1999,Jennifer Whittle,3,18,0,0,2,0.0,0,0,,0,2,.000,0,0,,0,3,0,1,1,5,1,0
137,1999,Sue Wicks,32,938,30,91,226,0.403,2,15,0.133,89,211,.422,32,52,.615,76,223,45,41,43,63,123,216
138,1999,Jamila Wideman,26,401,13,21,77,0.273,3,22,0.136,18,55,.327,11,17,.647,8,34,51,20,0,40,22,56
139,1999,Natalie Williams,28,954,26,180,347,0.519,0,2,0.0,180,345,.522,144,191,.754,109,257,25,38,22,68,108,504
140,1999,Rita Williams,31,312,0,31,62,0.5,19,34,0.559,12,28,.429,23,36,.639,7,37,30,21,1,26,41,104
141,1999,Amanda Wilson,12,34,0,4,12,0.333,1,5,0.2,3,7,.429,3,3,1.000,4,6,2,1,1,2,3,12
142,1999,Sophia Witherspoon,32,581,23,97,245,0.396,28,78,0.359,69,167,.413,49,69,.710,20,47,37,33,2,48,54,271
143,1999,Kara Wolters,10,41,0,3,13,0.231,0,0,,3,13,.231,10,12,.833,5,12,2,1,0,3,11,16
144,1999,Tricia Bader Binford,16,106,0,2,16,0.125,1,10,0.1,1,6,.167,2,2,1.000,3,13,12,6,1,7,20,7
145,1999,Cindy Brown,30,646,21,57,178,0.32,8,40,0.2,49,138,.355,56,81,.691,49,146,32,34,14,47,61,178
146,1999,Korie Hlede,32,685,11,111,267,0.416,21,53,0.396,90,214,.421,72,82,.878,31,85,53,30,3,54,83,315
147,1999,Wendy Palmer,31,741,14,104,241,0.432,13,46,0.283,91,195,.467,86,123,.699,50,188,42,9,12,58,101,307
148,1999,Nyree Roberts,12,79,0,6,11,0.545,0,0,,6,11,.545,5,9,.556,3,12,1,5,1,11,5,17
149,1999,Olympia Scott,12,88,0,9,28,0.321,0,0,,9,28,.321,7,12,.583,8,20,5,1,3,8,21,25
0,2000,Markita Aldridge,29,272,0,25,54,0.463,6,12,0.5,19,42,.452,7,22,.318,8,24,28,9,4,27,30,63
1,2000,Keisha Anderson,30,434,9,29,68,0.426,3,8,0.375,26,60,.433,14,18,.778,12,46,75,25,3,47,53,75
2,2000,Mery Andrade,32,797,18,89,195,0.456,27,75,0.36,62,120,.517,60,80,.750,32,95,75,41,10,65,91,265
3,2000,Janeth Arcain,32,977,32,109,233,0.468,9,45,0.2,100,188,.532,41,49,.837,36,119,60,42,3,53,66,268
4,2000,Marlies Askamp,32,869,32,85,209,0.407,1,2,0.5,84,207,.406,80,117,.684,96,231,29,17,21,49,95,251
5,2000,Jennifer Azzi,15,559,15,47,104,0.452,10,24,0.417,37,80,.463,40,43,.930,5,41,92,12,5,28,43,144
6,2000,Tricia Bader Binford,25,201,0,17,48,0.354,8,24,0.333,9,24,.375,5,6,.833,2,11,21,17,1,18,16,47
7,2000,Rhonda Banchero,9,21,0,2,7,0.286,0,2,0.0,2,5,.400,2,4,.500,2,3,1,0,0,2,3,6
8,2000,Adia Barnes,5,18,0,3,5,0.6,0,1,0.0,3,4,.750,2,4,.500,2,2,4,0,0,2,2,8
9,2000,Quacy Barnes,31,705,23,89,213,0.418,1,9,0.111,88,204,.431,30,56,.536,27,84,33,19,33,62,103,209
10,2000,Cass Bauer-Bilodeau,29,398,18,29,72,0.403,0,1,0.0,29,71,.408,18,21,.857,20,56,14,8,3,28,72,76
11,2000,Tully Bevilaqua,32,796,32,40,112,0.357,17,60,0.283,23,52,.442,56,72,.778,19,95,89,41,6,66,92,153
12,2000,Jessica Bibby,17,69,0,3,18,0.167,2,6,0.333,1,12,.083,11,13,.846,3,5,11,3,0,12,9,19
13,2000,Debbie Black,32,820,32,57,150,0.38,9,42,0.214,48,108,.444,29,42,.690,23,92,98,58,1,50,86,152
14,2000,Cindy Blodgett,20,133,0,20,50,0.4,8,28,0.286,12,22,.545,4,6,.667,1,9,3,8,1,13,9,52
15,2000,Ruthie Bolton,29,868,29,133,368,0.361,50,160,0.313,83,208,.399,64,84,.762,42,106,57,34,1,45,60,380
16,2000,Angie Braziel,22,203,3,19,49,0.388,0,0,,19,49,.388,13,19,.684,16,34,5,5,0,17,24,51
17,2000,Michelle Brogan,28,725,23,70,137,0.511,8,25,0.32,62,112,.554,63,79,.797,40,111,49,30,6,36,88,211
18,2000,Edwina Brown,32,619,7,60,169,0.355,1,4,0.25,59,165,.358,67,80,.838,36,88,72,24,5,68,77,188
19,2000,Rushia Brown,30,679,22,93,187,0.497,1,2,0.5,92,185,.497,66,78,.846,54,124,44,38,13,59,81,253
20,2000,Marla Brumfield,32,613,17,47,101,0.465,1,9,0.111,46,92,.500,29,42,.690,22,60,42,22,2,40,70,124
21,2000,Vicky Bullett,32,1094,32,143,294,0.486,11,34,0.324,132,260,.508,45,63,.714,61,183,42,64,47,58,88,342
22,2000,Linda Burgess,5,41,0,3,15,0.2,0,0,,3,15,.200,6,9,.667,7,17,2,1,0,4,8,12
23,2000,Alisa Burras,21,314,4,64,109,0.587,0,0,,64,109,.587,31,41,.756,20,74,6,3,7,36,36,159
24,2000,Latasha Byears,32,521,0,75,143,0.524,1,2,0.5,74,141,.525,30,49,.612,42,122,21,30,5,35,72,181
